GESTURE:"Fire Ball" {
	-0.1046657, 0.3485294, 0
	-0.008584911, 0.3882359, 0
	0.09283617, 0.4139121, 0
	0.1958546, 0.4091403, 0
	0.2905849, 0.3665904, 0
	0.378049, 0.3091328, 0
	0.4446095, 0.2306268, 0
	0.4987766, 0.1416448, 0
	0.5349327, 0.04503773, 0
	0.5556518, -0.05744633, 0
	0.5659225, -0.1611814, 0
	0.5539021, -0.2642581, 0
	0.5047861, -0.3557443, 0
	0.4222653, -0.4174169, 0
	0.3288334, -0.4638337, 0
	0.2285025, -0.4927297, 0
	0.126894, -0.5157469, 0
	0.02276766, -0.5142157, 0
	-0.08014797, -0.4970628, 0
	-0.1777993, -0.4646115, 0
	-0.2595842, -0.4024344, 0
	-0.3229277, -0.3247505, 0
	-0.3673172, -0.2300424, 0
	-0.4055335, -0.1349166, 0
	-0.4243365, -0.03565848, 0
	-0.4340775, 0.06634279, 0
	-0.4006648, 0.1643744, 0
	-0.3557381, 0.252313, 0
	-0.28475, 0.3253078, 0
	-0.1972986, 0.3799019, 0
	-0.1013605, 0.4042577, 0
	0.001212962, 0.4191176, 0
}
GESTURE:"Chain Lightning" {
	-0.3811751, 0.4453485, 5
	-0.287627, 0.4628347, 5
	-0.1929499, 0.4756196, 5
	-0.09834474, 0.4884629, 5
	-0.004477486, 0.506039, 5
	0.08997393, 0.5204131, 5
	0.1847017, 0.5328773, 5
	0.2797598, 0.5417218, 5
	0.3752655, 0.5440327, 5
	0.437708, 0.5287836, 5
	0.3559382, 0.4793703, 5
	0.2774343, 0.4251823, 5
	0.2012354, 0.3676424, 5
	0.1274972, 0.3068916, 5
	0.05322298, 0.2467928, 5
	-0.02056479, 0.1860984, 5
	-0.09664295, 0.12832, 5
	-0.1737874, 0.07195343, 5
	-0.2530911, 0.01867648, 5
	-0.2193785, -0.008598864, 5
	-0.1238431, -0.008102039, 5
	-0.02838693, -0.004158585, 5
	0.06697081, 0.001788891, 5
	0.1624016, 0.006444035, 5
	0.2579117, 0.007848501, 5
	0.2145146, -0.0459219, 5
	0.1372547, -0.1018819, 5
	0.06321464, -0.1622314, 5
	-0.008284617, -0.2254519, 5
	-0.07342951, -0.2952593, 5
	-0.1295423, -0.3724032, 5
	-0.1739382, -0.4559669, 5
}
GESTURE:"Wind Wave" {
	-0.4353723, -0.05823755, 11
	-0.4494156, -0.02323049, 11
	-0.4526733, 0.01742773, 11
	-0.4392478, 0.05553406, 11
	-0.4075242, 0.0820257, 11
	-0.3706741, 0.1004092, 11
	-0.3314361, 0.1136627, 11
	-0.2904349, 0.118233, 11
	-0.2491423, 0.1166065, 11
	-0.2081374, 0.1115024, 11
	-0.1691691, 0.09754939, 11
	-0.1309147, 0.0819212, 11
	-0.09334458, 0.06515897, 11
	-0.05650899, 0.04644844, 11
	-0.02115018, 0.02530882, 11
	0.01326053, 0.002535474, 11
	0.04624566, -0.02049982, 11
	0.08199655, -0.04132324, 11
	0.1188296, -0.060252, 11
	0.15405, -0.0813224, 11
	0.1934419, -0.09383578, 11
	0.2336605, -0.1024049, 11
	0.2739067, -0.1101407, 11
	0.3148434, -0.116474, 11
	0.356229, -0.1170611, 11
	0.3964819, -0.110963, 11
	0.4362712, -0.1010231, 11
	0.4737326, -0.08392229, 11
	0.5045047, -0.05726665, 11
	0.5268829, -0.02300053, 11
	0.5400574, 0.01579365, 11
	0.5473267, 0.05594922, 11
}
GESTURE:"Arcane Beam" {
	-0.4855177, -0.0117284, 0
	-0.4623662, -0.009591646, 0
	-0.439131, -0.007454893, 0
	-0.4156601, -0.006797249, 0
	-0.3922234, -0.005318141, 0
	-0.3687252, -0.005318141, 0
	-0.3452626, -0.004391219, 0
	-0.3218108, -0.003181389, 0
	-0.2983126, -0.003181389, 0
	-0.2748143, -0.003181389, 0
	-0.2513161, -0.003181389, 0
	-0.2278329, -0.002701087, 0
	-0.2043804, -0.001235308, 0
	-0.1808881, -0.001044637, 0
	-0.1575667, 0.001092115, 0
	0.1392737, 0.004366782, 1
	0.1625554, 0.002463515, 1
	0.1859966, 0.001092115, 1
	0.2094949, 0.001092115, 1
	0.2329924, 0.001064048, 1
	0.2564613, -0.0001093974, 1
	0.2799362, -0.001044637, 1
	0.3034344, -0.001044637, 1
	0.3269326, -0.001044637, 1
	0.3504309, -0.001044637, 1
	0.3739291, -0.001044637, 1
	0.3974273, -0.001044637, 1
	0.4209256, -0.001044637, 1
	0.4444064, -0.0005555573, 1
	0.4678443, 0.001125801, 1
	0.4912391, 0.003294123, 1
	0.5144823, 0.00536562, 1
}
